name,price,score,body,tannin,sweetness,acidity
Larose Red Blend 2019,4,4.7,4,3,1,4
Elevage 2000,4,4.7,5,3,1,4
Spring Mountain Cabernet Sauvignon 2011,4,4.7,5,3,1,3
Spring Mountain Cabernet Sauvignon 2016,4,4.6,5,3,1,3
Kai Carmenère 2008,4,4.6,4,2,1,3
Aconcagua Valley 2003,4,4.6,5,3,1,3
Luis Pereira 2012,4,4.6,4,2,1,2
Torre Muga 2000,3,4.6,4,4,1,4
Aro 2001,4,4.6,4,4,1,4
Cabernet Sauvignon 2002,4,4.6,5,3,1,3
Ironheart Shiraz 2017,4,4.6,5,3,2,3
Spring Mountain Cabernet Sauvignon 2014,4,4.6,5,3,1,3
Altura 2008,4,4.6,4,3,1,3
Spring Mountain Cabernet Sauvignon 2013,4,4.6,5,3,1,3
Spring Mountain Cabernet Sauvignon 2012,4,4.6,5,3,1,3
Brunello di Montalcino 2013,4,4.6,3,3,1,4
Cabernet Sauvignon 2015,4,4.5,5,3,1,3
Folly Syrah 2005,3,4.5,5,3,1,2
FAY Cabernet Sauvignon 2006,4,4.5,5,3,1,3
Kai Carmenère 2014,4,4.5,4,2,1,3
Kai Carmenère 2009,4,4.5,4,2,1,3
Malleolus de Valderramiro 2008,4,4.5,4,3,1,4
Bosché Vineyard Cabernet Sauvignon 2013,4,4.5,5,3,1,3
Reserve Cabernet Sauvignon 2014,4,4.5,5,3,1,3
Nico Malbec 2010,4,4.5,4,3,2,2
En Chamberlin Vineyard Syrah 2008,4,4.5,4,3,1,3
Lupi e Sirene Riserva 2008,4,4.5,3,3,1,4
Prado Enea Gran Reserva 1998,2,4.5,4,4,1,4
Lupi e Sirene Riserva 2011,4,4.5,3,3,1,4
Lupi e Sirene Riserva 2010,4,4.5,3,3,1,4
Eileen Hardy Shiraz 2004,4,4.5,5,3,1,3
Profile 2001,4,4.5,5,3,1,4
Reserve Cabernet Sauvignon 2016,4,4.5,5,3,1,3
MPHS 2011,4,4.5,4,3,1,4
Elevage 2016,4,4.5,5,3,1,4
Cabernet Sauvignon 2014,4,4.5,5,3,1,3
Stone Cairn 2013,2,4.5,4,4,1,4
En Chamberlin Vineyard Syrah 2007,4,4.5,4,3,1,3
Chateau de Chassagne-Montrachet Rouge 2016,3,4.5,2,2,1,4
Bosché Vineyard Cabernet Sauvignon 2006,4,4.5,5,3,1,3
Brunello di Montalcino 2000,3,4.5,3,3,1,4
Hercules 2014,3,4.5,4,3,2,3
CASK 23 Cabernet Sauvignon 2006,4,4.5,5,3,1,3
Cabernet Sauvignon 2012,4,4.4,5,3,1,3
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2017,3,4.4,5,3,1,3
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2014,3,4.4,5,3,1,3
Montes Alpha M Red 2006,3,4.4,5,3,1,3
Priorat 2007,4,4.4,5,3,1,3
Cabernet Sauvignon 2016,4,4.4,5,3,1,3
Purple Angel 2006,2,4.4,5,3,1,3
Sycamore Vineyard Cabernet Sauvignon 2012,4,4.4,5,3,1,3
Cabernet Sauvignon 2006,4,4.4,5,3,1,3
Kai Carmenère 2011,4,4.4,4,2,1,3
O.P.C Proprietary Red 2014,4,4.4,5,3,1,4
Rosso di Montalcino 2014,4,4.4,2,3,1,3
Larose Red Blend 2014,4,4.4,4,3,1,4
Elevage 2012,4,4.4,5,3,1,4
Savitar Shiraz 2005,3,4.4,5,3,2,3
Land's Edge Vineyard Pinot Noir 2018,4,4.4,3,1,1,3
Château Corton Grancey Grand Cru 2015,4,4.4,2,2,1,4
Sycamore Vineyard Cabernet Sauvignon 2013,4,4.4,5,3,1,3
Kai Carmenère 2012,4,4.4,4,2,1,3
Culmen Reserva Rioja 2001,4,4.4,4,4,1,4
Elevage 2014,4,4.4,5,3,1,4
Reserve Cabernet Sauvignon 2013,4,4.4,5,3,1,3
Páva 2011,4,4.4,4,4,1,4
Reserve Cabernet Sauvignon 2015,4,4.4,5,3,1,3
Lupi e Sirene Riserva 2009,4,4.4,3,3,1,4
Finca Altamira Malbec 2004,4,4.4,4,2,1,2
O.P.C Proprietary Red 2015,4,4.4,5,3,1,4
Elevage 2009,4,4.4,5,3,1,4
Elevage 2004,4,4.4,5,3,1,4
Enzo Bianchi Gran Cru 2002,4,4.4,5,3,1,3
Eileen Hardy Shiraz 2007,4,4.4,5,3,1,3
Elevage 2005,4,4.4,5,3,1,4
S.L.V. Cabernet Sauvignon 2006,4,4.4,5,3,1,3
Elevage 2008,4,4.4,5,3,1,4
Colli Della Toscana Centrale Cignale 2006,3,4.4,3,3,1,3
GR Reserve Shiraz 2006,4,4.4,5,3,2,2
Cabernet Sauvignon 2012,4,4.4,5,3,1,3
Cabernet Sauvignon 2015,4,4.4,5,3,1,3
Toro 2V Premium 2005,4,4.4,4,3,1,2
Cabernet Sauvignon 2003,4,4.4,5,3,1,3
Liguai 2006,2,4.4,4,3,1,3
Larose Red Blend 2016,4,4.4,4,3,1,4
Eileen Hardy Shiraz 2000,4,4.4,5,3,1,3
Reserve Cabernet Sauvignon 2010,4,4.4,5,3,1,3
Barolo Cerequio 2001,3,4.4,4,4,1,5
Colli Della Toscana Centrale Il Sole di Alessandro 2005,4,4.4,3,3,3,3
Cabernet Sauvignon 2011,4,4.4,5,3,1,3
GR Reserve Shiraz 2008,4,4.4,5,3,2,2
Elevage 2002,4,4.4,5,3,1,4
Hercules 2018,3,4.4,4,3,2,3
En Chamberlin Vineyard Syrah 2010,4,4.4,4,3,1,3
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2012,3,4.4,5,3,1,3
Rector Creek Vineyard 2019,3,4.4,5,3,4,3
GR Reserve Shiraz 2005,4,4.4,5,3,2,2
Malbec 2006,3,4.4,4,3,2,2
En Chamberlin Vineyard Syrah 2009,4,4.4,4,3,1,3
Unánime Gran Vino Tinto 2005,3,4.4,5,3,1,4
LeChar Pinot Noir 2010,2,4.4,2,2,4,3
Alfa Spiga Ribera del Duero 2003,3,4.4,4,3,1,4
Cabernet Sauvignon 2010,4,4.3,5,3,1,3
Badia a Passignano Gran Selezione Chianti Classico 2016,3,4.3,3,3,1,4
Cabernet Sauvignon 2016,4,4.3,5,3,1,3
Cabernet Sauvignon 2018,4,4.3,5,3,1,3
Malbec 2015,2,4.3,4,2,2,2
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2015,3,4.3,5,3,1,3
Alicante Bouschet - Cabernet Sauvignon 2013,3,4.3,4,3,1,3
Cabernet Sauvignon 2009,4,4.3,5,3,1,3
Cabernet Sauvignon 2014,4,4.3,5,3,1,3
Capo di Stato 2013,4,4.3,4,3,1,2
Cabernet Sauvignon 2011,4,4.3,5,3,1,3
Brunello di Montalcino 2010,3,4.3,3,3,1,4
Brunello di Montalcino 2011,3,4.3,3,3,1,4
Russian River Valley Pinot Noir 2016,3,4.3,3,1,1,3
Gigglepot Cabernet Sauvignon 2016,3,4.3,4,3,1,3
Cabernet Sauvignon 2015,4,4.3,5,3,1,3
Cabernet Sauvignon 2017,4,4.3,5,3,1,3
Mendoza 2005,4,4.3,5,3,1,4
O.P.C Proprietary Red 2012,4,4.3,5,3,1,4
Cabernet Sauvignon 2014,4,4.3,5,3,1,3
Cabernet Sauvignon 2007,4,4.3,5,3,1,3
Montepulciano d'Abruzzo 2006,4,4.3,3,3,1,4
Bosché Vineyard Cabernet Sauvignon 2012,4,4.3,5,3,1,3
Cabernet Sauvignon 2005,4,4.3,5,3,1,3
Payen 2011,3,4.3,5,3,1,2
Brunello di Montalcino 2001,2,4.3,3,3,1,4
Corte di Cama Sforzato di Valtellina 2014,3,4.3,4,4,1,5
Castillo Ygay Gran Reserva Especial Tinto 1995,3,4.3,4,4,1,4
Bosché Vineyard Cabernet Sauvignon 2010,4,4.3,5,3,1,3
Cielo d'Ulisse Brunello di Montalcino 2015,4,4.3,3,3,1,4
Manyetes 2014,4,4.3,5,3,1,3
Evenstad Reserve Pinot Noir 2006,3,4.3,2,2,1,4
Rioja Gran Reserva 2013,4,4.3,4,3,1,4
Elevage 2006,4,4.3,5,3,1,4
Elevage 2010,4,4.3,5,3,1,4
Reserve Cabernet Sauvignon 2012,4,4.3,5,3,1,3
